PropertyName,URL,Price,Bedrooms,Bathrooms,FloorArea,PropertyType,Tenure,YearBuilt,Recency,ExtractedDateTime
URL,Address,Price,Bedrooms,Bathrooms,FloorArea,PricePSF,ExtractedDateTime
https://www.propertyguru.com.sg/listing/for-sale-laguna-park-24835842,5000E Marine Parade Road,"S$ 3,250,000",5 Beds,4 Baths,"3,369 sqft",S$ 964.68 psf,04/Sep/25 12:24AM
https://www.propertyguru.com.sg/listing/for-sale-bayshore-park-17887449?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2IjoyMzIzMjEyLCJhdCI6MTYzLCJidCI6MCwiY20iOjY1ODQxOTUyMiwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3Nzk4NjY3OTIsImRpIjoiZWMyMDY0MTlmNDE4NDJjY2E3ZGZkNWJkZmNjY2Y0ZWMiLCJkaiI6MCwiaWkiOiI1NDRlYzc0MjUwZGQ0MzQ4YTU0YmIzNmI2MjAxNTgwOSIsImRtIjozLCJmYyI6OTU0MTk3NTE1LCJmbCI6ODYxNDI0OTE1LCJpcCI6IjIyMC4yNTUuMjI5LjEiLCJrdyI6Imxpc3Rpbmctc2FsZS1wcm9wLW4scHJvamVjdCIsIm1rIjoibGlzdGluZy1zYWxlLXByb3Atbixwcm9qZWN0IiwibnciOjExMTM1LCJwYyI6MTIwMDAwLCJvcCI6MTIwMDAwLCJtcCI6MTIwMDAwLCJlYyI6MTIwMDAwLCJnbSI6MCwiZXAiOm51bGwsInByIjoyMzU3MTQsInJ0IjoyLCJycyI6NTAwLCJzYSI6IjgxIiwic2IiOiJpLTAxYjhkYTZkNTc5MmIwZjU1Iiwic3AiOjUxMjYyMCwic3QiOjExOTg3MTgsInVrIjoiMWY2ZTAwZGUtMmVmMi00MjM3LWExNmMtNmVjZWFjYTQ1MWFiIiwidHMiOjE3NTY5MTY2MDAyMTQsImJmIjp0cnVlLCJwbiI6IjItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiVVRDIiwiZmNwYyI6ZmFsc2UsImV0IjoyMDV9%26s%3DjlNMZoWM18X8n6NbdYCZPRr7PYY,50 Bayshore Road,"S$ 1,300,000",2 Beds,2 Baths,936 sqft,"S$ 1,388.89 psf",04/Sep/25 12:24AM
https://www.propertyguru.com.sg/listing/for-sale-laguna-park-24526287,5000A Marine Parade Road,"S$ 2,000,000",3 Beds,3 Baths,"1,615 sqft","S$ 1,238.39 psf",04/Sep/25 12:24AM
https://www.propertyguru.com.sg/listing/for-sale-laguna-park-25521188,5000A Marine Parade Road,"S$ 2,850,000",4 Beds,3 Baths,"2,895 sqft",S$ 984.46 psf,04/Sep/25 12:24AM
https://www.propertyguru.com.sg/listing/for-sale-laguna-park-24835852,5000E Marine Parade Road,"S$ 3,250,000",5 Beds,4 Baths,"3,369 sqft",S$ 964.68 psf,04/Sep/25 12:24AM
https://www.propertyguru.com.sg/listing/for-sale-laguna-park-25440709,5000E Marine Parade Road,"S$ 3,000,000",5 Beds,4 Baths,"3,369 sqft",S$ 890.47 psf,04/Sep/25 12:24AM
https://www.propertyguru.com.sg/listing/for-sale-laguna-park-25624078,5000B Marine Parade Road,"S$ 2,100,000",3 Beds,3 Baths,"1,615 sqft","S$ 1,300.31 psf",04/Sep/25 12:24AM
https://www.propertyguru.com.sg/listing/for-sale-laguna-park-25076179,5000A Marine Parade Road,"S$ 1,980,000",3 Beds,2 Baths,"1,453 sqft","S$ 1,362.70 psf",04/Sep/25 12:24AM
https://www.propertyguru.com.sg/listing/for-sale-laguna-park-60034074,5000D Marine Parade Road,"S$ 2,950,000",3 Beds,3 Baths,"2,895 sqft","S$ 1,019.00 psf",04/Sep/25 12:24AM
https://www.propertyguru.com.sg/listing/for-sale-laguna-park-25338040,5000D Marine Parade Road,"S$ 2,100,000",3 Beds,2 Baths,"1,452 sqft","S$ 1,446.28 psf",04/Sep/25 12:24AM
https://www.propertyguru.com.sg/listing/for-sale-laguna-park-25448808,5000D Marine Parade Road,"S$ 1,890,000",3 Beds,3 Baths,"1,453 sqft","S$ 1,300.76 psf",04/Sep/25 12:24AM
https://www.propertyguru.com.sg/listing/for-sale-laguna-park-25294416,5000A Marine Parade Road,"S$ 1,900,000",3 Beds,2 Baths,"1,453 sqft","S$ 1,307.64 psf",04/Sep/25 12:24AM
